Latitude,Longitude
41.73983079,-87.56727558
41.86674249,-87.72763836
41.78317092,-87.73388504
41.79672747,-87.66708667
41.89779712,-87.67300873
41.87183889,-87.72613995
41.93905603,-87.77137634
41.8609112,-87.69574471
41.94010261,-87.6404924
42.00947945,-87.67225967
41.79375169,-87.69051763
41.65818294,-87.61332106
41.8952399,-87.74581479
41.78317092,-87.73388504
41.8107073,-87.60391984
41.87929064,-87.74159851
41.91116294,-87.68724317
41.6916069,-87.69764641
41.93332641,-87.6879273
41.6837142,-87.5388668
41.84507313,-87.62531155
41.89488108,-87.76171825
41.78295171,-87.60436283
41.87941186,-87.75244098
41.81844785,-87.69451891
41.72917087,-87.55123535
41.96591376,-87.66393322
42.00821137,-87.67221393
41.76374073,-87.59093022
41.80943446,-87.61313374
41.77888383,-87.66420637
41.77895839,-87.70411344
41.86221827,-87.63908716
41.78415004,-87.66797222
