ID,Case Number,Date,Block,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,Year,Updated On,Latitude,Longitude
23427,JA336634,7/6/2017 11:02,085XX S JUSTINE ST,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,614,6,21,71,2017,7/13/2017 15:53,41.73847432,-87.66191465
23428,JA337316,7/6/2017 18:30,082XX S CARPENTER ST,FIRST DEGREE MURDER,PORCH,FALSE,FALSE,613,6,21,71,2017,7/13/2017 15:53,41.74443019,-87.64993248
23429,JA337334,7/6/2017 18:31,044XX W HADDON AVE,FIRST DEGREE MURDER,ALLEY,FALSE,FALSE,1111,11,37,23,2017,7/13/2017 15:53,41.90157003,-87.73713547
23430,JA340303,7/8/2017 23:29,066XX S HALSTED ST,FIRST DEGREE MURDER,GAS STATION,TRUE,FALSE,723,7,6,68,2017,8/18/2017 15:49,41.77297208,-87.64461087
23431,JA340827,7/9/2017 14:36,000XX W 95TH ST,FIRST DEGREE MURDER,"CTA ""L"" PLATFORM",FALSE,FALSE,634,6,21,49,2017,7/16/2017 15:51,41.7216272,-87.62448518
23432,JA341347,7/9/2017 20:26,034XX S WESTERN AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,911,9,12,59,2017,7/16/2017 15:51,41.83094986,-87.68505263
23433,JA341816,7/10/2017 9:32,081XX S PAULINA ST,FIRST DEGREE MURDER,STREET,FALSE,FALSE,614,6,18,71,2017,7/17/2017 15:54,41.74583771,-87.66575154
23434,JA342438,7/10/2017 17:00,013XX E 78TH ST,FIRST DEGREE MURDER,STREET,FALSE,FALSE,411,4,8,45,2017,7/17/2017 15:54,41.75323641,-87.59276276
23435,JA343087,7/11/2017 4:10,083XX S STONY ISLAND AVE,FIRST DEGREE MURDER,GAS STATION,FALSE,FALSE,412,4,8,45,2017,7/18/2017 15:52,41.74397044,-87.58579712
23436,JA343127,7/11/2017 6:26,052XX S DR MARTIN LUTHER KING JR DR,FIRST DEGREE MURDER,STREET,FALSE,FALSE,231,2,3,40,2017,7/18/2017 15:52,41.79926622,-87.61609356
23437,JA344890,7/12/2017 13:01,031XX W FILLMORE ST,FIRST DEGREE MURDER,ALLEY,FALSE,FALSE,1134,11,24,29,2017,7/19/2017 15:55,41.86823403,-87.70491658
